Login;Datum;Beginn;Ende;Pause_Minuten;Stunden
demo-dup-01;27.07.2026;;;;8
demo-dup-01;28.07.2026;07:30;16:30;30;
demo-dup-01;29.07.2026;08:00;17:00;30;
demo-dup-01;30.07.2026;07:30;16:30;30;
demo-dup-01;31.07.2026;;;;8
demo-dup-01;03.08.2026;07:30;17:00;30;
demo-dup-01;04.08.2026;08:00;16:30;30;
demo-dup-01;05.08.2026;07:30;16:30;30;
demo-dup-01;06.08.2026;;;;8
demo-dup-01;07.08.2026;07:30;16:30;30;
demo-dup-01;10.08.2026;08:00;16:30;30;
demo-dup-01;11.08.2026;07:30;17:00;30;
demo-dup-01;12.08.2026;;;;8
demo-dup-01;13.08.2026;07:30;16:30;30;
demo-dup-01;14.08.2026;08:00;17:00;30;
demo-dup-01;17.08.2026;07:30;16:30;30;
demo-dup-01;18.08.2026;;;;8
demo-dup-01;19.08.2026;07:30;17:00;30;
demo-dup-01;20.08.2026;08:00;16:30;30;
demo-dup-01;21.08.2026;07:30;16:30;30;
demo-dup-01;24.08.2026;;;;8
demo-dup-01;25.08.2026;07:30;16:30;30;
demo-dup-01;26.08.2026;08:00;16:30;30;
demo-dup-01;27.08.2026;07:30;17:00;30;
demo-dup-01;28.08.2026;;;;8
demo-dup-01;31.08.2026;07:30;16:30;30;
demo-dup-01;01.09.2026;08:00;17:00;30;
demo-dup-01;02.09.2026;07:30;16:30;30;
demo-dup-01;03.09.2026;;;;8
demo-dup-01;04.09.2026;07:30;17:00;30;
demo-dup-01;07.09.2026;08:00;16:30;30;
demo-dup-01;08.09.2026;07:30;16:30;30;
demo-dup-01;09.09.2026;;;;8
demo-dup-01;10.09.2026;07:30;16:30;30;
demo-dup-01;11.09.2026;08:00;16:30;30;
demo-dup-01;14.09.2026;07:30;17:00;30;
demo-dup-01;15.09.2026;;;;8
demo-dup-01;16.09.2026;07:30;16:30;30;
demo-dup-01;17.09.2026;08:00;17:00;30;
demo-dup-01;18.09.2026;07:30;16:30;30;
demo-dup-02;01.06.2026;07:30;16:30;30;
demo-dup-02;02.06.2026;08:00;16:30;30;
demo-dup-02;03.06.2026;07:30;17:00;30;
demo-dup-02;04.06.2026;;;;8
demo-dup-02;05.06.2026;07:30;16:30;30;
demo-dup-02;08.06.2026;08:00;17:00;30;
demo-dup-02;09.06.2026;07:30;16:30;30;
demo-dup-02;10.06.2026;;;;8
demo-dup-02;11.06.2026;07:30;17:00;30;
demo-dup-02;12.06.2026;08:00;16:30;30;
demo-dup-02;15.06.2026;07:30;16:30;30;
demo-dup-02;16.06.2026;;;;8
demo-dup-02;17.06.2026;07:30;16:30;30;
demo-dup-02;18.06.2026;08:00;16:30;30;
demo-dup-02;19.06.2026;07:30;17:00;30;
demo-dup-02;22.06.2026;;;;8
demo-dup-02;23.06.2026;07:30;16:30;30;
demo-dup-02;24.06.2026;08:00;17:00;30;
demo-dup-02;25.06.2026;07:30;16:30;30;
demo-dup-02;26.06.2026;;;;8
demo-dup-02;29.06.2026;07:30;17:00;30;
demo-dup-02;30.06.2026;08:00;16:30;30;
demo-dup-02;01.07.2026;07:30;16:30;30;
demo-dup-02;02.07.2026;;;;8
demo-dup-02;03.07.2026;07:30;16:30;30;
demo-dup-02;06.07.2026;08:00;16:30;30;
demo-dup-02;07.07.2026;07:30;17:00;30;
demo-dup-02;08.07.2026;;;;8
demo-dup-02;09.07.2026;07:30;16:30;30;
demo-dup-02;10.07.2026;08:00;17:00;30;
demo-dup-02;13.07.2026;07:30;16:30;30;
demo-dup-02;14.07.2026;;;;8
demo-dup-02;15.07.2026;07:30;17:00;30;
demo-dup-02;16.07.2026;08:00;16:30;30;
demo-dup-02;17.07.2026;07:30;16:30;30;
demo-dup-02;20.07.2026;;;;8
demo-dup-02;21.07.2026;07:30;16:30;30;
demo-dup-02;22.07.2026;08:00;16:30;30;
demo-dup-02;23.07.2026;07:30;17:00;30;
demo-dup-02;24.07.2026;;;;8
demo-dup-02;27.07.2026;07:30;16:30;30;
demo-dup-02;28.07.2026;08:00;17:00;30;
demo-dup-02;29.07.2026;07:30;16:30;30;
demo-dup-02;30.07.2026;;;;8
demo-dup-02;31.07.2026;07:30;17:00;30;
demo-dup-02;03.08.2026;08:00;16:30;30;
demo-dup-02;04.08.2026;07:30;16:30;30;
demo-dup-02;05.08.2026;;;;8
demo-dup-02;06.08.2026;07:30;16:30;30;
demo-dup-02;07.08.2026;08:00;16:30;30;
demo-dup-02;10.08.2026;07:30;17:00;30;
demo-dup-02;11.08.2026;;;;8
demo-dup-02;12.08.2026;07:30;16:30;30;
demo-dup-02;13.08.2026;08:00;17:00;30;
demo-dup-02;14.08.2026;07:30;16:30;30;
demo-dup-02;17.08.2026;;;;8
demo-dup-02;18.08.2026;07:30;17:00;30;
demo-dup-02;19.08.2026;08:00;16:30;30;
demo-dup-02;20.08.2026;07:30;16:30;30;
demo-dup-02;21.08.2026;;;;8
demo-dup-02;24.08.2026;07:30;16:30;30;
demo-dup-02;25.08.2026;08:00;16:30;30;
demo-dup-02;26.08.2026;07:30;17:00;30;
demo-dup-02;27.08.2026;;;;8
demo-dup-02;28.08.2026;07:30;16:30;30;
demo-dup-02;31.08.2026;08:00;17:00;30;
demo-dup-02;01.09.2026;07:30;16:30;30;
demo-dup-02;02.09.2026;;;;8
demo-dup-02;03.09.2026;07:30;17:00;30;
demo-dup-02;04.09.2026;08:00;16:30;30;
demo-dup-02;07.09.2026;07:30;16:30;30;
demo-dup-02;08.09.2026;;;;8
demo-dup-02;09.09.2026;07:30;16:30;30;
demo-dup-02;10.09.2026;08:00;16:30;30;
demo-dup-02;11.09.2026;07:30;17:00;30;
demo-dup-02;14.09.2026;;;;8
demo-dup-02;15.09.2026;07:30;16:30;30;
demo-dup-02;16.09.2026;08:00;17:00;30;
demo-dup-02;17.09.2026;07:30;16:30;30;
demo-dup-02;18.09.2026;;;;8
demo-ma-03;01.06.2026;08:00;16:30;30;
demo-ma-03;02.06.2026;07:30;17:00;30;
demo-ma-03;03.06.2026;;;;8
demo-ma-03;04.06.2026;07:30;16:30;30;
demo-ma-03;05.06.2026;08:00;17:00;30;
demo-ma-03;08.06.2026;07:30;16:30;30;
demo-ma-03;09.06.2026;;;;8
demo-ma-03;10.06.2026;07:30;17:00;30;
demo-ma-03;11.06.2026;08:00;16:30;30;
demo-ma-03;12.06.2026;07:30;16:30;30;
demo-ma-03;15.06.2026;;;;8
demo-ma-03;16.06.2026;07:30;16:30;30;
demo-ma-03;17.06.2026;08:00;16:30;30;
demo-ma-03;18.06.2026;07:30;17:00;30;
demo-ma-03;19.06.2026;;;;8
demo-ma-03;22.06.2026;07:30;16:30;30;
demo-ma-03;23.06.2026;08:00;17:00;30;
demo-ma-03;24.06.2026;07:30;16:30;30;
demo-ma-03;25.06.2026;;;;8
demo-ma-03;26.06.2026;07:30;17:00;30;
demo-ma-03;29.06.2026;08:00;16:30;30;
demo-ma-03;30.06.2026;07:30;16:30;30;
demo-ma-03;01.07.2026;;;;8
demo-ma-03;02.07.2026;07:30;16:30;30;
demo-ma-03;03.07.2026;08:00;16:30;30;
demo-ma-03;06.07.2026;07:30;17:00;30;
demo-ma-03;07.07.2026;;;;8
demo-ma-03;08.07.2026;07:30;16:30;30;
demo-ma-03;09.07.2026;08:00;17:00;30;
demo-ma-03;10.07.2026;07:30;16:30;30;
demo-ma-03;13.07.2026;;;;8
demo-ma-03;14.07.2026;07:30;17:00;30;
demo-ma-03;15.07.2026;08:00;16:30;30;
demo-ma-03;16.07.2026;07:30;16:30;30;
demo-ma-03;17.07.2026;;;;8
demo-ma-03;20.07.2026;07:30;16:30;30;
demo-ma-03;21.07.2026;08:00;16:30;30;
demo-ma-03;22.07.2026;07:30;17:00;30;
demo-ma-03;23.07.2026;;;;8
demo-ma-03;24.07.2026;07:30;16:30;30;
demo-ma-03;27.07.2026;08:00;17:00;30;
demo-ma-03;28.07.2026;07:30;16:30;30;
demo-ma-03;29.07.2026;;;;8
demo-ma-03;30.07.2026;07:30;17:00;30;
demo-ma-03;31.07.2026;08:00;16:30;30;
demo-ma-03;03.08.2026;07:30;16:30;30;
demo-ma-03;04.08.2026;;;;8
demo-ma-03;05.08.2026;07:30;16:30;30;
demo-ma-03;06.08.2026;08:00;16:30;30;
demo-ma-03;07.08.2026;07:30;17:00;30;
demo-ma-03;10.08.2026;;;;8
demo-ma-03;11.08.2026;07:30;16:30;30;
demo-ma-03;12.08.2026;08:00;17:00;30;
demo-ma-03;13.08.2026;07:30;16:30;30;
demo-ma-03;14.08.2026;;;;8
demo-ma-03;17.08.2026;07:30;17:00;30;
demo-ma-03;18.08.2026;08:00;16:30;30;
demo-ma-03;19.08.2026;07:30;16:30;30;
demo-ma-03;20.08.2026;;;;8
demo-ma-03;21.08.2026;07:30;16:30;30;
demo-ma-03;24.08.2026;08:00;16:30;30;
demo-ma-03;25.08.2026;07:30;17:00;30;
demo-ma-03;26.08.2026;;;;8
demo-ma-03;27.08.2026;07:30;16:30;30;
demo-ma-03;28.08.2026;08:00;17:00;30;
demo-ma-03;31.08.2026;07:30;16:30;30;
demo-ma-03;01.09.2026;;;;8
demo-ma-03;02.09.2026;07:30;17:00;30;
demo-ma-03;03.09.2026;08:00;16:30;30;
demo-ma-03;04.09.2026;07:30;16:30;30;
demo-ma-03;07.09.2026;;;;8
demo-ma-03;08.09.2026;07:30;16:30;30;
demo-ma-03;09.09.2026;08:00;16:30;30;
demo-ma-03;10.09.2026;07:30;17:00;30;
demo-ma-03;11.09.2026;;;;8
demo-ma-03;14.09.2026;07:30;16:30;30;
demo-ma-03;15.09.2026;08:00;17:00;30;
demo-ma-03;16.09.2026;07:30;16:30;30;
demo-ma-03;17.09.2026;;;;8
demo-ma-03;18.09.2026;07:30;17:00;30;
demo-ma-04;01.06.2026;07:30;17:00;30;
demo-ma-04;02.06.2026;;;;8
demo-ma-04;03.06.2026;07:30;16:30;30;
demo-ma-04;04.06.2026;08:00;17:00;30;
demo-ma-04;05.06.2026;07:30;16:30;30;
demo-ma-04;08.06.2026;;;;8
demo-ma-04;09.06.2026;07:30;17:00;30;
demo-ma-04;10.06.2026;08:00;16:30;30;
demo-ma-04;11.06.2026;07:30;16:30;30;
demo-ma-04;12.06.2026;;;;8
demo-ma-04;15.06.2026;07:30;16:30;30;
demo-ma-04;16.06.2026;08:00;16:30;30;
demo-ma-04;17.06.2026;07:30;17:00;30;
demo-ma-04;18.06.2026;;;;8
demo-ma-04;19.06.2026;07:30;16:30;30;
demo-ma-04;22.06.2026;08:00;17:00;30;
demo-ma-04;23.06.2026;07:30;16:30;30;
demo-ma-04;24.06.2026;;;;8
demo-ma-04;25.06.2026;07:30;17:00;30;
demo-ma-04;26.06.2026;08:00;16:30;30;
demo-ma-04;29.06.2026;07:30;16:30;30;
demo-ma-04;30.06.2026;;;;8
demo-ma-04;01.07.2026;07:30;16:30;30;
demo-ma-04;02.07.2026;08:00;16:30;30;
demo-ma-04;03.07.2026;07:30;17:00;30;
demo-ma-04;06.07.2026;;;;8
demo-ma-04;07.07.2026;07:30;16:30;30;
demo-ma-04;08.07.2026;08:00;17:00;30;
demo-ma-04;09.07.2026;07:30;16:30;30;
demo-ma-04;10.07.2026;;;;8
demo-ma-04;13.07.2026;07:30;17:00;30;
demo-ma-04;14.07.2026;08:00;16:30;30;
demo-ma-04;15.07.2026;07:30;16:30;30;
demo-ma-04;16.07.2026;;;;8
demo-ma-04;17.07.2026;07:30;16:30;30;
demo-ma-04;20.07.2026;08:00;16:30;30;
demo-ma-04;21.07.2026;07:30;17:00;30;
demo-ma-04;22.07.2026;;;;8
demo-ma-04;23.07.2026;07:30;16:30;30;
demo-ma-04;24.07.2026;08:00;17:00;30;
demo-ma-04;27.07.2026;07:30;16:30;30;
demo-ma-04;28.07.2026;;;;8
demo-ma-04;29.07.2026;07:30;17:00;30;
demo-ma-04;30.07.2026;08:00;16:30;30;
demo-ma-04;31.07.2026;07:30;16:30;30;
demo-ma-04;03.08.2026;;;;8
demo-ma-04;04.08.2026;07:30;16:30;30;
demo-ma-04;05.08.2026;08:00;16:30;30;
demo-ma-04;06.08.2026;07:30;17:00;30;
demo-ma-04;07.08.2026;;;;8
demo-ma-04;10.08.2026;07:30;16:30;30;
demo-ma-04;11.08.2026;08:00;17:00;30;
demo-ma-04;12.08.2026;07:30;16:30;30;
demo-ma-04;13.08.2026;;;;8
demo-ma-04;14.08.2026;07:30;17:00;30;
demo-ma-04;17.08.2026;08:00;16:30;30;
demo-ma-04;18.08.2026;07:30;16:30;30;
demo-ma-04;19.08.2026;;;;8
demo-ma-04;20.08.2026;07:30;16:30;30;
demo-ma-04;21.08.2026;08:00;16:30;30;
demo-ma-04;24.08.2026;07:30;17:00;30;
demo-ma-04;25.08.2026;;;;8
demo-ma-04;26.08.2026;07:30;16:30;30;
demo-ma-04;27.08.2026;08:00;17:00;30;
demo-ma-04;28.08.2026;07:30;16:30;30;
demo-ma-04;31.08.2026;;;;8
demo-ma-04;01.09.2026;07:30;17:00;30;
demo-ma-04;02.09.2026;08:00;16:30;30;
demo-ma-04;03.09.2026;07:30;16:30;30;
demo-ma-04;04.09.2026;;;;8
demo-ma-04;07.09.2026;07:30;16:30;30;
demo-ma-04;08.09.2026;08:00;16:30;30;
demo-ma-04;09.09.2026;07:30;17:00;30;
demo-ma-04;10.09.2026;;;;8
demo-ma-04;11.09.2026;07:30;16:30;30;
demo-ma-04;14.09.2026;08:00;17:00;30;
demo-ma-04;15.09.2026;07:30;16:30;30;
demo-ma-04;16.09.2026;;;;8
demo-ma-04;17.09.2026;07:30;17:00;30;
demo-ma-04;18.09.2026;08:00;16:30;30;
demo-ma-05;01.06.2026;;;;8
demo-ma-05;02.06.2026;07:30;16:30;30;
demo-ma-05;03.06.2026;08:00;17:00;30;
demo-ma-05;04.06.2026;07:30;16:30;30;
demo-ma-05;05.06.2026;;;;8
demo-ma-05;08.06.2026;07:30;17:00;30;
demo-ma-05;09.06.2026;08:00;16:30;30;
demo-ma-05;10.06.2026;07:30;16:30;30;
demo-ma-05;11.06.2026;;;;8
demo-ma-05;12.06.2026;07:30;16:30;30;
demo-ma-05;15.06.2026;08:00;16:30;30;
demo-ma-05;16.06.2026;07:30;17:00;30;
demo-ma-05;17.06.2026;;;;8
demo-ma-05;18.06.2026;07:30;16:30;30;
demo-ma-05;19.06.2026;08:00;17:00;30;
demo-ma-05;22.06.2026;07:30;16:30;30;
demo-ma-05;23.06.2026;;;;8
demo-ma-05;24.06.2026;07:30;17:00;30;
demo-ma-05;25.06.2026;08:00;16:30;30;
demo-ma-05;26.06.2026;07:30;16:30;30;
demo-ma-05;29.06.2026;;;;8
demo-ma-05;30.06.2026;07:30;16:30;30;
demo-ma-05;01.07.2026;08:00;16:30;30;
demo-ma-05;02.07.2026;07:30;17:00;30;
demo-ma-05;03.07.2026;;;;8
demo-ma-05;06.07.2026;07:30;16:30;30;
demo-ma-05;07.07.2026;08:00;17:00;30;
demo-ma-05;08.07.2026;07:30;16:30;30;
demo-ma-05;09.07.2026;;;;8
demo-ma-05;10.07.2026;07:30;17:00;30;
demo-ma-05;13.07.2026;08:00;16:30;30;
demo-ma-05;14.07.2026;07:30;16:30;30;
demo-ma-05;15.07.2026;;;;8
demo-ma-05;16.07.2026;07:30;16:30;30;
demo-ma-05;17.07.2026;08:00;16:30;30;
demo-ma-05;20.07.2026;07:30;17:00;30;
demo-ma-05;21.07.2026;;;;8
demo-ma-05;22.07.2026;07:30;16:30;30;
demo-ma-05;23.07.2026;08:00;17:00;30;
demo-ma-05;24.07.2026;07:30;16:30;30;
demo-ma-05;27.07.2026;;;;8
demo-ma-05;28.07.2026;07:30;17:00;30;
demo-ma-05;29.07.2026;08:00;16:30;30;
demo-ma-05;30.07.2026;07:30;16:30;30;
demo-ma-05;31.07.2026;;;;8
demo-ma-05;03.08.2026;07:30;16:30;30;
demo-ma-05;04.08.2026;08:00;16:30;30;
demo-ma-05;05.08.2026;07:30;17:00;30;
demo-ma-05;06.08.2026;;;;8
demo-ma-05;07.08.2026;07:30;16:30;30;
demo-ma-05;10.08.2026;08:00;17:00;30;
demo-ma-05;11.08.2026;07:30;16:30;30;
demo-ma-05;12.08.2026;;;;8
demo-ma-05;13.08.2026;07:30;17:00;30;
demo-ma-05;14.08.2026;08:00;16:30;30;
demo-ma-05;17.08.2026;07:30;16:30;30;
demo-ma-05;18.08.2026;;;;8
demo-ma-05;19.08.2026;07:30;16:30;30;
demo-ma-05;20.08.2026;08:00;16:30;30;
demo-ma-05;21.08.2026;07:30;17:00;30;
demo-ma-05;24.08.2026;;;;8
demo-ma-05;25.08.2026;07:30;16:30;30;
demo-ma-05;26.08.2026;08:00;17:00;30;
demo-ma-05;27.08.2026;07:30;16:30;30;
demo-ma-05;28.08.2026;;;;8
demo-ma-05;31.08.2026;07:30;17:00;30;
demo-ma-05;01.09.2026;08:00;16:30;30;
demo-ma-05;02.09.2026;07:30;16:30;30;
demo-ma-05;03.09.2026;;;;8
demo-ma-05;04.09.2026;07:30;16:30;30;
demo-ma-05;07.09.2026;08:00;16:30;30;
demo-ma-05;08.09.2026;07:30;17:00;30;
demo-ma-05;09.09.2026;;;;8
demo-ma-05;10.09.2026;07:30;16:30;30;
demo-ma-05;11.09.2026;08:00;17:00;30;
demo-ma-05;14.09.2026;07:30;16:30;30;
demo-ma-05;15.09.2026;;;;8
demo-ma-05;16.09.2026;07:30;17:00;30;
demo-ma-05;17.09.2026;08:00;16:30;30;
demo-ma-05;18.09.2026;07:30;16:30;30;
demo-ma-06;01.06.2026;07:30;16:30;30;
demo-ma-06;02.06.2026;08:00;17:00;30;
demo-ma-06;03.06.2026;07:30;16:30;30;
demo-ma-06;04.06.2026;;;;8
demo-ma-06;05.06.2026;07:30;17:00;30;
demo-ma-06;08.06.2026;08:00;16:30;30;
demo-ma-06;09.06.2026;07:30;16:30;30;
demo-ma-06;10.06.2026;;;;8
demo-ma-06;11.06.2026;07:30;16:30;30;
demo-ma-06;12.06.2026;08:00;16:30;30;
demo-ma-06;15.06.2026;07:30;17:00;30;
demo-ma-06;16.06.2026;;;;8
demo-ma-06;17.06.2026;07:30;16:30;30;
demo-ma-06;18.06.2026;08:00;17:00;30;
demo-ma-06;19.06.2026;07:30;16:30;30;
demo-ma-06;22.06.2026;;;;8
demo-ma-06;23.06.2026;07:30;17:00;30;
demo-ma-06;24.06.2026;08:00;16:30;30;
demo-ma-06;25.06.2026;07:30;16:30;30;
demo-ma-06;26.06.2026;;;;8
demo-ma-06;29.06.2026;07:30;16:30;30;
demo-ma-06;30.06.2026;08:00;16:30;30;
demo-ma-06;01.07.2026;07:30;17:00;30;
demo-ma-06;02.07.2026;;;;8
demo-ma-06;03.07.2026;07:30;16:30;30;
demo-ma-06;06.07.2026;08:00;17:00;30;
demo-ma-06;07.07.2026;07:30;16:30;30;
demo-ma-06;08.07.2026;;;;8
demo-ma-06;09.07.2026;07:30;17:00;30;
demo-ma-06;10.07.2026;08:00;16:30;30;
demo-ma-06;13.07.2026;07:30;16:30;30;
demo-ma-06;14.07.2026;;;;8
demo-ma-06;15.07.2026;07:30;16:30;30;
demo-ma-06;16.07.2026;08:00;16:30;30;
demo-ma-06;17.07.2026;07:30;17:00;30;
demo-ma-06;20.07.2026;;;;8
demo-ma-06;21.07.2026;07:30;16:30;30;
demo-ma-06;22.07.2026;08:00;17:00;30;
demo-ma-06;23.07.2026;07:30;16:30;30;
demo-ma-06;24.07.2026;;;;8
demo-ma-06;27.07.2026;07:30;17:00;30;
demo-ma-06;28.07.2026;08:00;16:30;30;
demo-ma-06;29.07.2026;07:30;16:30;30;
demo-ma-06;30.07.2026;;;;8
demo-ma-06;31.07.2026;07:30;16:30;30;
demo-ma-06;03.08.2026;08:00;16:30;30;
demo-ma-06;04.08.2026;07:30;17:00;30;
demo-ma-06;05.08.2026;;;;8
demo-ma-06;06.08.2026;07:30;16:30;30;
demo-ma-06;07.08.2026;08:00;17:00;30;
demo-ma-06;10.08.2026;07:30;16:30;30;
demo-ma-06;11.08.2026;;;;8
demo-ma-06;12.08.2026;07:30;17:00;30;
demo-ma-06;13.08.2026;08:00;16:30;30;
demo-ma-06;14.08.2026;07:30;16:30;30;
demo-ma-06;17.08.2026;;;;8
demo-ma-06;18.08.2026;07:30;16:30;30;
demo-ma-06;19.08.2026;08:00;16:30;30;
demo-ma-06;20.08.2026;07:30;17:00;30;
demo-ma-06;21.08.2026;;;;8
demo-ma-06;24.08.2026;07:30;16:30;30;
demo-ma-06;25.08.2026;08:00;17:00;30;
demo-ma-06;26.08.2026;07:30;16:30;30;
demo-ma-06;27.08.2026;;;;8
demo-ma-06;28.08.2026;07:30;17:00;30;
demo-ma-06;31.08.2026;08:00;16:30;30;
demo-ma-06;01.09.2026;07:30;16:30;30;
demo-ma-06;02.09.2026;;;;8
demo-ma-06;03.09.2026;07:30;16:30;30;
demo-ma-06;04.09.2026;08:00;16:30;30;
demo-ma-06;07.09.2026;07:30;17:00;30;
demo-ma-06;08.09.2026;;;;8
demo-ma-06;09.09.2026;07:30;16:30;30;
demo-ma-06;10.09.2026;08:00;17:00;30;
demo-ma-06;11.09.2026;07:30;16:30;30;
demo-ma-06;14.09.2026;;;;8
demo-ma-06;15.09.2026;07:30;17:00;30;
demo-ma-06;16.09.2026;08:00;16:30;30;
demo-ma-06;17.09.2026;07:30;16:30;30;
demo-ma-06;18.09.2026;;;;8
demo-ma-07;01.06.2026;08:00;17:00;30;
demo-ma-07;02.06.2026;07:30;16:30;30;
demo-ma-07;03.06.2026;;;;8
demo-ma-07;04.06.2026;07:30;17:00;30;
demo-ma-07;05.06.2026;08:00;16:30;30;
demo-ma-07;08.06.2026;07:30;16:30;30;
demo-ma-07;09.06.2026;;;;8
demo-ma-07;10.06.2026;07:30;16:30;30;
demo-ma-07;11.06.2026;08:00;16:30;30;
demo-ma-07;12.06.2026;07:30;17:00;30;
demo-ma-07;15.06.2026;;;;8
demo-ma-07;16.06.2026;07:30;16:30;30;
demo-ma-07;17.06.2026;08:00;17:00;30;
demo-ma-07;18.06.2026;07:30;16:30;30;
demo-ma-07;19.06.2026;;;;8
demo-ma-07;22.06.2026;07:30;17:00;30;
demo-ma-07;23.06.2026;08:00;16:30;30;
demo-ma-07;24.06.2026;07:30;16:30;30;
demo-ma-07;25.06.2026;;;;8
demo-ma-07;26.06.2026;07:30;16:30;30;
demo-ma-07;29.06.2026;08:00;16:30;30;
demo-ma-07;30.06.2026;07:30;17:00;30;
demo-ma-07;01.07.2026;;;;8
demo-ma-07;02.07.2026;07:30;16:30;30;
demo-ma-07;03.07.2026;08:00;17:00;30;
demo-ma-07;06.07.2026;07:30;16:30;30;
demo-ma-07;07.07.2026;;;;8
demo-ma-07;08.07.2026;07:30;17:00;30;
demo-ma-07;09.07.2026;08:00;16:30;30;
demo-ma-07;10.07.2026;07:30;16:30;30;
demo-ma-07;13.07.2026;;;;8
demo-ma-07;14.07.2026;07:30;16:30;30;
demo-ma-07;15.07.2026;08:00;16:30;30;
demo-ma-07;16.07.2026;07:30;17:00;30;
demo-ma-07;17.07.2026;;;;8
demo-ma-07;20.07.2026;07:30;16:30;30;
demo-ma-07;21.07.2026;08:00;17:00;30;
demo-ma-07;22.07.2026;07:30;16:30;30;
demo-ma-07;23.07.2026;;;;8
demo-ma-07;24.07.2026;07:30;17:00;30;
demo-ma-07;27.07.2026;08:00;16:30;30;
demo-ma-07;28.07.2026;07:30;16:30;30;
demo-ma-07;29.07.2026;;;;8
demo-ma-07;30.07.2026;07:30;16:30;30;
demo-ma-07;31.07.2026;08:00;16:30;30;
demo-ma-07;03.08.2026;07:30;17:00;30;
demo-ma-07;04.08.2026;;;;8
demo-ma-07;05.08.2026;07:30;16:30;30;
demo-ma-07;06.08.2026;08:00;17:00;30;
demo-ma-07;07.08.2026;07:30;16:30;30;
demo-ma-07;10.08.2026;;;;8
demo-ma-07;11.08.2026;07:30;17:00;30;
demo-ma-07;12.08.2026;08:00;16:30;30;
demo-ma-07;13.08.2026;07:30;16:30;30;
demo-ma-07;14.08.2026;;;;8
demo-ma-07;17.08.2026;07:30;16:30;30;
demo-ma-07;18.08.2026;08:00;16:30;30;
demo-ma-07;19.08.2026;07:30;17:00;30;
demo-ma-07;20.08.2026;;;;8
demo-ma-07;21.08.2026;07:30;16:30;30;
demo-ma-07;24.08.2026;08:00;17:00;30;
demo-ma-07;25.08.2026;07:30;16:30;30;
demo-ma-07;26.08.2026;;;;8
demo-ma-07;27.08.2026;07:30;17:00;30;
demo-ma-07;28.08.2026;08:00;16:30;30;
demo-ma-07;31.08.2026;07:30;16:30;30;
demo-ma-07;01.09.2026;;;;8
demo-ma-07;02.09.2026;07:30;16:30;30;
demo-ma-07;03.09.2026;08:00;16:30;30;
demo-ma-07;04.09.2026;07:30;17:00;30;
demo-ma-07;07.09.2026;;;;8
demo-ma-07;08.09.2026;07:30;16:30;30;
demo-ma-07;09.09.2026;08:00;17:00;30;
demo-ma-07;10.09.2026;07:30;16:30;30;
demo-ma-07;11.09.2026;;;;8
demo-ma-07;14.09.2026;07:30;17:00;30;
demo-ma-07;15.09.2026;08:00;16:30;30;
demo-ma-07;16.09.2026;07:30;16:30;30;
demo-ma-07;17.09.2026;;;;8
demo-ma-07;18.09.2026;07:30;16:30;30;
demo-ma-08;01.06.2026;07:30;16:30;30;
demo-ma-08;02.06.2026;;;;8
demo-ma-08;03.06.2026;07:30;17:00;30;
demo-ma-08;04.06.2026;08:00;16:30;30;
demo-ma-08;05.06.2026;07:30;16:30;30;
demo-ma-08;08.06.2026;;;;8
demo-ma-08;09.06.2026;07:30;16:30;30;
demo-ma-08;10.06.2026;08:00;16:30;30;
